web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,title,title2,title3,title4,image,image2
"1779297167-1","https://www.bdhousing.com/features","Nawar Afroz Valley Sale","Nawar Properties Ltd","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","1710","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/244821/6ea8eb00a18c0f47c6d6d7e794975f43.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/603/249c7185cbd0a18c92dc1e7551ead451.jpg"
"1779297167-2","https://www.bdhousing.com/features","Hyperion Mozibur Tower Sale","Hyperion Design & Development Ltd.","Banasree, Dhaka","Call For Price","Apartment/Flats","1500","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/243796/ed7d949f70f29fb2b5845b933d73803f.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1230/8d6a07a8cdcd2710256d6b7427fa6207.jpg"
"1779297167-3","https://www.bdhousing.com/features","Hyperion Park View Building -3 Sale","Hyperion Design & Development Ltd.","Banasree, Dhaka","TK. 1.46 Cr.","Apartment/Flats","1695","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248497/a77488e9b2bce86b87bcc2fcdaa63bd5.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1230/8d6a07a8cdcd2710256d6b7427fa6207.jpg"
"1779297167-4","https://www.bdhousing.com/features","Purbachal Marine City  Sale","Purbachal Marine City","Purbachal, Dhaka","Call For Price","Residential Plot","5","","","Sale","Real Estate Company","July, 2026","Handover Date","","Size (Katha)","","https://www.bdhousing.com/api/list/listings/564X394/238991/4005b315df3a8d5c83b1938906203dd2.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/864/00fe4ba7c932f849a1a2d143c46d9598.jpeg"
"1779297167-5","https://www.bdhousing.com/features","Purbachal Marine City Sale","Purbachal Marine City","Purbachal, Dhaka","TK. 30.00 Lac","Residential Plot","3","","","Sale","Real Estate Company","July, 2026","Handover Date","","Size (Katha)","","https://www.bdhousing.com/api/list/listings/564X394/238987/802a0c800e3106d776631dc08215810a.jpeg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/864/00fe4ba7c932f849a1a2d143c46d9598.jpeg"
"1779297167-6","https://www.bdhousing.com/features","Laizu & Arzu's  Sale","Bhaiya Housing Ltd. (Apartment)","Kallyanpur, Dhaka","Call For Price","Apartment/Flats","1400","03","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/245611/3fa9dd2bcac3b82a8fb75ef2b330c90c.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1583/09e56810066bf295c635cf2d3ad25f19.jpg"
"1779297167-7","https://www.bdhousing.com/features","Japasty ZABEL OZORA Sale","Japasty Company Ltd","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2638","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246195/3a137f854747e9f505c9a0b98c78a8df.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1585/e2e194e509b814ab6f46a48324e4524a.jpg"
"1779297167-8","https://www.bdhousing.com/features","Japasty Zeba Heights Sale","Japasty Company Ltd","Bashundhara R/A, Dhaka","TK. 3.34 Cr.","Apartment/Flats","3086","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248568/1860771e50c8e5dc8d14d493d8a20b75.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1585/e2e194e509b814ab6f46a48324e4524a.jpg"
"1779297167-9","https://www.bdhousing.com/features","JAPASTY GLORIA Sale","Japasty Company Ltd","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2328","04","05","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246197/7c916f721f733ea15889a43d5c289873.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1585/e2e194e509b814ab6f46a48324e4524a.jpg"
"1779297167-10","https://www.bdhousing.com/features","Dhakhina Sale","Japasty Company Ltd","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2235","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246238/215f38f9a1d34743a8b2711acfaf3a6d.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1585/e2e194e509b814ab6f46a48324e4524a.jpg"
"1779297167-11","https://www.bdhousing.com/features","JAPASTY NOVERA     Sale","Japasty Company Ltd","Bashundhara R/A, Dhaka","Call For Price","Apartment/Flats","2216","04","04","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246196/81c1bb93f818b9b335b219b680aeef18.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1585/e2e194e509b814ab6f46a48324e4524a.jpg"
"1779297167-12","https://www.bdhousing.com/features","Best plot in Dhaka Town Sale","Modhu City","Keraniganj, Dhaka","TK. 55.00 Lac","Residential Plot","5","","","Sale","Real Estate Company","May, 2022","Handover Date","","Size (Katha)","","https://www.bdhousing.com/api/list/listings/564X394/244324/8103d6d5bab6c63526880481d3855f4b.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/1582/9789e4b6fa5818f839eae924c311fd2c.jpg"
"1779297167-13","https://www.bdhousing.com/features","Techven Taru Chaya Sale","Techven Properties Ltd.","Mirpur 11, Dhaka","TK. 1.05 Cr.","Apartment/Flats","1375","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/249065/fe07eee1f0268775c646e844b05bff2d.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/155/5a228a5063252b00899115087f7fc724.jpg"
"1779297167-14","https://www.bdhousing.com/features","Scion Swapno Neer Sale","Scion Asset Developers Ltd.","Banasree, Dhaka","Call For Price","Apartment/Flats","1377","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248985/589d88f938c305e67b6966c824826f31.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/886/d87a7fe074ef2fe207aa46133ba60c31.jpg"
"1779297167-15","https://www.bdhousing.com/features","The Teacher's Lodge Sale","Scion Asset Developers Ltd.","Khilgaon, Dhaka","Call For Price","Apartment/Flats","1335","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248986/e5e56781e1cbeff68250adc96fd82fae.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/886/d87a7fe074ef2fe207aa46133ba60c31.jpg"
"1779297167-16","https://www.bdhousing.com/features","HASNAT VILLA Sale","Scion Asset Developers Ltd.","Aftab Nagar, Dhaka","Call For Price","Apartment/Flats","1628","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/248983/37bfb84905bedf11b87a6ba33cb38600.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/886/d87a7fe074ef2fe207aa46133ba60c31.jpg"
"1779297167-17","https://www.bdhousing.com/features","HAL UDAYAN ROKTOKOROBY FLAT Sale","Shadman Shahriar","Mirpur 2, Dhaka","Call For Price","Apartment/Flats","1240","03","02","Sale","Property owner","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/250663/a15f8c5d9541b85bd2c2b26b0c3fc0af.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/13102/"
"1779297167-18","https://www.bdhousing.com/features","PREMIUM Apartment PROJECT Sale","Muhammad Mohiul Islam","Dhanmondi, Dhaka","Call For Price","Apartment/Flats","3400","04","04","Sale","Property owner","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/245443/68e8f46e649e9e3d894a1d955d748fb3.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/4130/402be96bb72b89ad6d2de1b47dde986b.jpg"
"1779297167-19","https://www.bdhousing.com/features","Arkam MC Park Sale","ARKAM BUILDERS LIMITED","Banasree, Dhaka","Call For Price","Land Sharing Flat","1800","03","03","Sale","Real Estate Company","","","Bedrooms","Size (Sq.ft)","Baths","https://www.bdhousing.com/api/list/listings/564X394/246236/78a398849bac70497d860bab2d9d721d.jpg","https://www.bdhousing.com/api/Common/getDeveloperLogo/users/150X150/6288/b8d2b3c4cc903e465564b86bf3d9e633.jpg"
